Date,05T,59T,61T,50T,52T,53T,54T,08T,19T,27T,24T,26T,79T,46T,30T,32T,77T,35T,36T,40T,75T,76T,44T,62T,63T,80T
2017_05_07,12.0,20.0,17.0,17.0,19.0,17.0,17.0,13.0,13.0,17.9,34.0,17.900000000000002,17.900000000000002,19.0,21.0,13.0,17.0,22.0,22.0,21.0,19.0,16.0,19.0,19.0,19.0,
2017_05_08,14.0,22.0,21.0,19.25,20.0,19.25,19.25,14.0,14.0,21.075,48.0,21.075,21.075,29.0,18.0,13.0,28.0,22.0,24.0,18.0,22.0,16.0,13.0,13.0,13.0,
2017_05_09,11.0,20.0,21.0,17.25,17.0,17.25,17.25,14.0,14.0,18.475,36.0,18.474999999999998,18.474999999999998,24.0,12.0,15.0,19.0,31.0,31.0,28.0,27.75,21.0,16.0,16.0,16.0,
2017_05_10,18.0,32.0,23.0,24.75,26.0,24.75,24.75,22.0,22.0,25.725,40.0,25.725,25.725000000000005,15.0,16.0,12.0,11.0,20.0,32.0,26.0,17.0,13.0,23.0,23.0,23.0,
2017_05_11,14.0,21.0,20.0,20.75,28.0,20.75,20.75,17.0,17.0,21.477272727272727,47.0,10.0,21.47727272727273,15.0,19.0,13.0,7.0,19.0,19.0,13.0,14.0,14.0,18.0,18.0,18.0,
2017_05_12,23.333333333333332,26.0,23.0,23.333333333333332,21.0,23.333333333333332,23.333333333333332,19.0,19.0,24.030303030303035,55.0,8.0,24.03030303030303,15.0,12.0,12.0,12.0,15.0,22.0,11.0,8.0,11.0,14.0,14.0,14.0,
2017_05_13,24.333333333333332,26.0,23.0,24.333333333333332,24.0,24.333333333333332,24.333333333333332,17.0,17.0,24.212121212121215,54.0,8.0,24.212121212121215,21.0,12.0,13.5,15.0,11.0,18.0,8.0,5.0,7.0,15.0,15.0,15.0,
2017_05_14,16.0,17.0,15.0,16.0,16.0,16.0,16.0,15.0,15.0,16.636363636363637,32.0,9.0,16.636363636363637,18.0,14.0,13.5,13.0,5.0,7.0,8.0,6.0,8.0,14.0,14.0,14.0,
2017_05_15,13.0,16.0,13.0,13.0,10.0,13.0,13.0,10.0,10.0,13.272727272727273,28.0,7.0,13.272727272727273,15.0,14.0,15.5,17.0,7.0,10.0,8.0,7.5,5.0,22.0,22.0,22.0,
2017_05_16,16.333333333333332,17.0,13.0,16.333333333333332,19.0,16.333333333333332,16.333333333333332,14.0,14.0,16.0,34.0,8.0,16.694444444444443,10.0,12.0,12.5,13.0,7.0,12.0,4.0,7.75,8.0,17.0,17.0,17.0,
2017_05_17,13.333333333333334,15.0,10.0,13.333333333333334,15.0,13.333333333333334,13.333333333333334,13.25925925925926,13.259259259259258,13.25925925925926,21.0,5.0,13.259259259259258,14.0,14.0,10.5,7.0,5.0,5.0,2.0,5.0,4.25,25.0,25.0,25.0,
2017_05_18,17.333333333333332,21.0,15.0,17.333333333333332,16.0,17.333333333333332,17.333333333333332,16.0,16.0,17.3030303030303,25.0,12.0,17.3030303030303,10.0,18.0,17.0,16.0,6.0,8.0,2.0,6.0,8.0,27.0,27.0,27.0,
2017_05_19,18.0,35.0,25.0,27.25,31.0,27.25,27.25,24.0,24.0,26.431818181818183,35.0,17.0,26.431818181818183,15.0,17.0,18.0,19.0,12.0,13.0,7.0,11.5,14.0,14.0,14.0,14.0,
2017_05_20,20.0,35.0,29.0,29.25,33.0,29.25,29.25,30.0,30.0,29.15909090909091,40.0,16.0,29.15909090909091,19.0,17.0,18.5,20.0,22.0,24.0,15.0,19.75,18.0,18.0,18.0,18.0,
2017_05_21,17.0,21.0,22.0,20.75,23.0,20.75,20.75,23.0,23.0,22.65909090909091,38.0,20.0,22.659090909090907,28.0,19.0,20.0,21.0,26.0,30.0,19.0,13.0,23.0,15.0,15.0,15.0,
2017_05_22,19.0,27.0,25.0,24.0,25.0,24.0,24.0,22.0,22.0,24.181818181818183,38.0,16.0,24.181818181818183,23.0,19.0,20.5,22.0,30.0,38.0,25.0,20.0,21.0,14.0,14.0,14.0,
2017_05_23,25.0,27.0,24.0,25.0,24.0,25.0,25.0,26.0,26.0,24.727272727272727,30.0,15.0,24.72727272727273,25.0,23.0,22.5,22.0,26.0,27.0,23.0,19.0,18.0,9.0,9.0,9.0,
