Date,02T,05T,10T,11T,12T,59T,61T,03T,50T,52T,53T,54T,08T,16T,17T,18T,19T,13T,22T,14T,27T,20T,81T,21T,24T,25T,26T,79T,84T,85T,41T,46T,47T,72T,82T,83T,88T,90T,91T,28T,29T,30T,31T,74T,32T,33T,34T,60T,71T,77T,87T,35T,36T,37T,38T,39T,40T,57T,73T,58T,67T,75T,68T,69T,70T,76T,86T,92T,42T,44T,62T,63T,78T,89T,43T,80T,93T
2021_02_28,44.0,39,46.0,44,37.0,38,31.0,48.0,44.0,45,42.0,62.0,45.0,41.0,38,55,64.0,40.0,34.0,44.0,28.0,53.0,46.0,57.0,57.25,49.0,55.0,48.0,27.0,70.0,64.0,74.0,57,75.0,72.0,95.0,42.0,69.16666666666667,69.16666666666667,54,42.0,34,42,38.0,41.0,39.0,49.0,51.0,39.0,51.0,32.0,75.0,76.0,127.0,90.0,161.0,110.0,55.0,89.0,86.0,70.0,52.0,73.0,93,71.0,131.0,76.0,89.6875,34.0,29,20,19,17.0,27.0,61.0,21.0,41.0
2021_03_01,26.0,20,30.0,25,23.0,23,21.0,32.0,29.0,27,24.0,39.0,27.0,19.0,23,34,26.0,24.0,21.0,25.0,14.0,29.0,32.0,36.0,41.0,31.0,40.0,36.0,18.0,41.0,45.0,71.0,51,62.0,94.0,80.0,50.0,68.0,68.0,35,17.0,19,19,19.0,21.0,22.0,20.0,41.0,25.0,40.0,24.0,70.0,72.0,122.0,68.0,117.0,76.0,64.0,99.0,88.0,76.0,66.0,65.0,89,79.0,137.0,48.0,83.5,26.0,19,23,18,17.0,29.0,41.0,20.0,30.5
2021_03_02,16.0,12,21.0,14,14.0,13,17.0,32.0,19.0,18,15.0,32.0,18.0,8.0,12,24,18.0,13.0,12.0,16.0,11.0,19.0,15.0,25.0,27.0,26.0,20.0,19.0,11.0,24.0,30.0,66.0,39,69.0,91.0,85.0,44.0,65.66666666666667,65.66666666666667,20,6.0,7,6,8.0,11.0,14.0,13.0,26.0,24.0,28.0,18.0,70.0,66.0,126.0,60.0,127.0,84.0,65.0,102.0,103.0,78.0,60.0,73.0,97,82.0,140.0,59.0,87.0,23.0,19,22,19,17.0,26.0,28.0,20.0,24.0
2021_03_03,12.0,10,21.0,14,13.0,10,15.0,29.0,16.0,15,12.0,26.0,16.0,8.0,11,21,14.0,10.0,9.0,15.0,8.0,14.0,9.0,15.0,22.0,14.0,15.0,17.0,7.0,16.0,20.0,36.0,33,39.0,30.0,34.0,12.0,30.666666666666668,30.666666666666664,19,12.0,12,8,11.0,12.0,10.0,9.0,25.0,18.0,25.0,16.0,99.0,94.0,112.0,48.0,91.0,73.0,72.0,109.0,153.0,54.0,51.0,86.0,73,84.0,95.0,26.0,82.5,20.0,13,20,14,14.0,18.0,20.0,18.0,19.0
2021_03_04,19.0,15,29.0,22,17.0,16,19.0,36.0,23.0,19,20.0,38.0,21.0,15.0,14,27,21.0,18.0,15.0,28.0,12.0,23.0,14.0,19.0,35.0,17.0,20.0,13.0,8.0,19.0,18.0,34.0,23,17.0,28.0,59.0,31.0,32.0,32.0,17,11.0,12,10,13.0,14.0,17.0,16.0,22.0,12.0,24.0,12.0,72.0,71.0,36.0,17.0,38.0,33.0,60.0,96.0,131.0,31.0,26.0,57.0,31,45.0,64.0,17.0,51.5625,16.0,13,19,15,9.0,14.0,19.0,16.0,17.5
2021_03_05,19.0,15,27.0,19,15.0,15,19.0,35.0,22.0,20,19.0,32.0,20.0,16.0,15,24,19.0,16.0,15.0,22.0,16.0,18.0,16.0,19.0,31.0,17.0,19.0,31.0,10.0,16.0,19.0,39.0,32,21.0,37.0,105.0,43.0,46.166666666666664,46.16666666666667,26,14.0,15,14,16.0,18.0,15.0,18.0,25.0,19.0,21.0,16.0,58.0,50.0,43.0,20.0,38.0,38.0,53.0,107.0,126.0,39.0,30.0,44.0,40,38.0,49.0,26.0,49.9375,17.0,13,19,15,12.0,17.0,19.0,14.333333333333334,16.666666666666668
2021_03_06,21.0,16,30.0,19,22.0,16,19.0,33.0,23.0,21,20.0,32.0,22.0,15.0,17,27,22.0,17.0,16.0,28.0,18.0,22.0,22.0,22.0,31.0,18.0,28.0,16.0,13.0,20.0,29.0,34.0,31,30.0,34.0,93.0,18.0,40.0,40.0,25,14.0,15,17,16.0,18.0,21.0,18.0,27.0,21.0,17.0,14.0,90.0,87.0,70.0,28.0,48.0,51.0,72.0,164.0,201.0,52.0,46.0,68.0,46,68.0,54.0,38.0,73.9375,15.0,13,11,15,9.0,19.0,18.0,14.0,16.0
2021_03_07,19.0,16,29.0,20,24.0,16,19.0,31.0,21.0,19,19.0,28.0,20.0,14.0,14,26,27.0,18.0,15.0,26.0,17.0,25.0,17.0,23.0,27.0,25.0,28.0,38.0,12.0,22.0,27.0,39.0,35,36.0,41.0,97.0,23.0,45.166666666666664,45.16666666666667,26,14.0,14,14,15.0,20.0,19.0,18.0,28.0,26.0,35.0,22.0,117.0,116.0,116.0,45.0,90.0,67.0,83.0,175.0,323.0,55.0,53.0,84.0,67,89.0,81.0,39.0,100.0,23.0,13,12,13,8.0,17.0,20.0,12.333333333333334,16.166666666666668
2021_03_08,25.0,21,32.0,25,27.0,21,21.0,32.0,27.0,25,23.0,34.0,25.0,16.0,20,31,31.0,23.0,19.0,27.0,19.0,32.0,21.0,30.0,38.0,26.0,26.0,30.0,12.0,30.0,30.0,33.0,35,29.0,38.0,66.0,29.0,38.333333333333336,38.33333333333333,24,15.0,16,14,15.0,20.0,17.0,23.0,30.0,23.0,33.0,18.0,109.0,108.0,105.0,43.0,107.0,54.0,108.0,209.0,291.0,48.0,54.0,77.0,48,103.0,91.0,31.0,99.125,24.0,11,18,14,8.0,15.0,17.0,12.0,14.5
2021_03_09,22.0,17,34.0,24,18.0,19,21.0,37.0,26.0,24,26.0,34.0,24.0,18.0,17,27,28.0,24.0,21.0,28.0,19.0,33.0,21.0,31.0,47.0,28.0,25.0,30.0,11.0,27.0,28.0,43.0,54,33.0,49.0,82.0,33.0,49.0,49.0,26,15.0,20,18,19.0,21.0,14.0,19.0,30.0,36.0,40.0,20.0,104.0,103.0,73.0,34.0,80.0,46.0,105.0,211.0,211.0,52.0,51.0,79.0,50,89.0,93.0,39.0,88.75,20.0,17,21,18,10.0,21.0,21.0,17.0,19.0
