,Date,02T,05T,10T,11T,12T,59T,61T
59,03_01,26.0,20,30.0,25,23.0,23,21.0
60,03_02,16.0,12,21.0,14,14.0,13,17.0
61,03_03,12.0,10,21.0,14,13.0,10,15.0
62,03_04,19.0,15,29.0,22,17.0,16,19.0
63,03_05,19.0,15,27.0,19,15.0,15,19.0
64,03_06,21.0,16,30.0,19,22.0,16,19.0
65,03_07,19.0,16,29.0,20,24.0,16,19.0
66,03_08,25.0,21,32.0,25,27.0,21,21.0
67,03_09,22.0,17,34.0,24,18.0,19,21.0
68,03_10,28.0,23,42.0,28,24.0,25,25.0
69,03_11,30.0,27,42.0,36,30.0,29,26.0
70,03_12,30.0,23,41.0,29,25.0,25,25.0
71,03_13,26.0,21,39.0,29,24.0,26,24.0
72,03_14,27.0,21,34.0,27,21.0,22,22.0
73,03_15,24.0,21,34.0,25,20.0,20,21.0
74,03_16,27.0,22,36.0,27,25.0,23,23.0
75,03_17,30.0,25,39.0,30,28.0,28,24.0
76,03_18,38.0,34,40.0,40,34.0,33,28.0
77,03_19,33.0,27,25.0,32,28.0,29,26.0
78,03_20,33.0,28,29.0,32,27.0,28,26.0
79,03_21,24.0,21,25.0,26,21.0,21,22.0
80,03_22,51.0,38,38.0,42,37.0,41,35.0
81,03_23,42.0,37,37.0,38,36.0,35,34.0
82,03_24,47.0,40,46.0,45,40.0,43,37.0
83,03_25,37.0,34,40.0,40,33.0,33,32.0
84,03_26,20.0,16,20.0,21,15.0,17,19.0
85,03_27,16.0,12,17.0,16,17.0,12,17.0
86,03_28,18.0,15,18.0,20,18.0,15,18.0
87,03_29,18.0,14,19.0,24,18.0,14,18.0
88,03_30,21.0,15,19.0,23,21.0,17,19.0
89,03_31,28.0,20,25.0,28,24.0,23,21.0
90,04_01,20.0,16,19.0,24,22.0,18,18.0
91,04_02,10.0,6,11.0,11,11.0,7,14.0
92,04_03,14.0,10,11.0,15,14.0,11,16.0
93,04_04,17.0,12,8.0,16,14.0,11,16.0
94,04_05,34.0,28,23.0,30,24.0,24,24.0
95,04_06,31.0,27,23.0,27,23.0,20,24.0
96,04_07,30.0,27,19.0,26,24.0,22,23.0
97,04_08,32.0,32,22.0,26,25.0,22,23.0
98,04_09,20.0,18,18.0,22,21.0,16,21.0
99,04_10,26.0,26,22.0,24,28.0,25,24.0
100,04_11,27.0,23,20.0,25,22.0,22,22.0
101,04_12,27.0,21,26.0,24,23.0,21,22.0
102,04_13,20.0,16,18.0,20,19.0,17,18.0
103,04_14,16.0,11,16.0,15,15.0,12,16.0
104,04_15,23.0,15,17.0,21,17.0,18,20.0
105,04_16,18.0,14,17.0,17,18.0,14,17.0
106,04_17,17.0,16,17.0,17,14.0,12,18.0
107,04_18,17.0,11,18.0,14,14.0,12,17.0
108,04_19,12.0,8,12.0,12,11.0,7,14.0
109,04_20,15.0,9,14.0,14,13.0,9,15.0
110,04_21,14.0,11,19.0,13,13.0,11,16.0
111,04_22,27.0,15,26.0,22,17.0,18,19.0
112,04_23,21.0,19,21.0,20,19.0,19,20.0
113,04_24,22.0,20,18.0,22,20.0,18,19.0
114,04_25,26.0,19,19.0,23,21.0,20,20.0
115,04_26,26.0,19,27.0,23,21.0,18,19.0
116,04_27,19.0,16,27.0,21,15.0,13,18.0
117,04_28,28.0,23,19.0,24,21.0,19,22.0
118,04_29,17.0,13,20.0,15,13.0,11,17.0
119,04_30,18.0,16,20.0,19,15.0,12,20.0
120,05_01,17.0,12,21.0,15,13.0,12,17.0
121,05_02,21.0,21,15.0,16,20.0,22,21.0
122,05_03,25.0,20,14.0,18,20.0,17,20.0
123,05_04,24.0,23,21.0,18,24.0,22,22.0
124,05_05,28.0,25,25.0,20,21.0,23,23.0
125,05_06,19.0,18,16.0,17,15.0,16,18.0
126,05_07,15.0,13,13.0,12,11.0,12,15.0
127,05_08,25.0,24,21.0,19,19.0,18,20.0
128,05_09,19.0,18,20.5,17,15.0,14,19.0
129,05_10,19.0,13,14.0,13,13.0,16,17.0
130,05_11,15.0,12,15.0,12,12.0,13,17.0
131,05_12,14.0,8,14.0,12,12.0,10,16.0
132,05_13,11.0,7,14.0,10,10.0,7,15.0
133,05_14,13.0,7,11.0,9,11.0,9,14.0
134,05_15,13.0,8,12.0,10,12.0,10,15.0
135,05_16,10.0,6,13.0,9,8.0,8,15.0
136,05_17,15.0,10,13.0,10,12.0,10,15.0
137,05_18,10.0,5,12.0,9,8.0,8,14.0
138,05_19,14.0,11,10.0,11,11.0,10,15.0
139,05_20,12.0,8,11.0,13,11.0,10,15.0
140,05_21,10.0,6,11.0,9,8.0,7,13.0
141,05_22,12.0,8,11.0,9,8.0,8,14.0
142,05_23,11.0,8,9.0,9,9.0,7,13.0
143,05_24,12.0,8,11.0,10,8.0,8,14.0
144,05_25,14.0,8,12.0,10,9.0,8,15.0
145,05_26,16.0,13,14.0,13,21.0,11,15.0
146,05_27,18.0,13,17.0,15,13.0,14,17.0
147,05_28,13.0,9,12.0,9,11.0,8,15.0
148,05_29,9.0,7,9.0,9,9.0,6,14.0
149,05_30,7.0,4,11.0,7,6.0,4,13.0
150,05_31,11.0,9,9.0,11,10.0,8,14.0
151,06_01,12.0,11,14.0,11,14.0,10,15.0
152,06_02,13.0,11,13.0,12,16.0,11,15.0
153,06_03,12.0,10,13.0,11,14.0,9,15.0
154,06_04,12.0,10,12.0,11,15.0,10,15.0
155,06_05,11.0,10,13.0,11,15.0,9,15.0
156,06_06,11.0,10,11.0,10,12.0,8,14.0
157,06_07,10.0,7,11.0,8,10.0,6,13.0
158,06_08,12.0,7,8.0,9,12.0,7,13.0
159,06_09,10.0,6,8.0,8,12.0,6,13.0
160,06_10,12.0,7,10.0,9,11.0,8,13.0
161,06_11,16.0,12,12.0,10,15.0,10,14.0
162,06_12,19.0,16,14.0,15,16.0,13,16.0
163,06_13,18.0,12,11.0,16,18.0,12,16.0
164,06_14,10.0,9,11.0,12,16.0,8,14.0
165,06_15,11.0,9,8.0,10,14.0,7,14.0
