Date,05T,10T,11T,59T,61T,03T,50T,52T,53T,54T,08T,17T,18T,19T,14T,27T,20T,21T,24T,25T,26T,79T,46T,72T,29T,30T,31T,32T,33T,34T,71T,77T,35T,36T,37T,38T,39T,40T,41T,57T,73T,58T,67T,75T,68T,69T,70T,76T,42T,44T,62T,63T,80T
2018_10_07,18.0,,,18.0,18.0,,26.0,25.0,25,35.0,29.0,,21.0,21.0,,33.0,,11.0,27.0,19.0,22.0,15.0,55.0,29.0,16.0,8.0,14.0,21.0,,19.0,11.0,19.0,35.0,10.0,,,,29.0,,29.0,,14.0,31.0,21.0,33.0,,,32.0,10.0,5.0,7.0,11,8.0
2018_10_08,17.0,,,22.0,22.0,,30.0,30.0,28,43.0,36.0,,23.0,23.0,,38.0,,19.0,32.0,22.0,25.0,17.0,55.0,27.0,20.0,12.0,15.0,18.0,,15.0,25.0,28.0,35.0,8.0,,,,29.0,,28.0,,13.0,29.0,19.0,31.0,,,31.0,11.0,,8.0,12,6.0
2018_10_09,24.0,,,19.0,22.0,,30.0,26.0,25,42.0,30.0,,21.0,28.0,,41.0,,18.0,38.0,23.0,21.0,26.0,54.0,27.0,21.0,16.0,20.0,21.0,,18.0,28.0,34.0,35.0,8.0,,,,30.0,,23.0,,11.0,26.0,18.0,31.0,,,31.0,8.0,,8.0,12,7.0
2018_10_10,29.0,,,23.0,25.0,,33.0,32.0,32,42.0,39.0,,28.0,31.0,,38.0,,31.0,41.0,24.0,31.0,36.0,41.0,23.0,23.0,20.0,30.0,28.0,,27.0,26.0,16.0,29.0,11.0,,,,27.0,,15.0,,12.0,23.0,9.0,29.0,,,25.0,14.0,,15.0,18,14.0
2018_10_11,23.0,,,24.0,21.0,,30.0,27.0,31,38.0,33.0,,27.0,30.0,,50.0,,24.0,33.0,19.0,39.0,28.0,25.0,16.0,27.0,20.0,24.0,25.0,,22.0,17.0,18.0,19.0,8.0,,,,14.0,,8.0,,10.0,16.0,7.0,20.0,,,21.0,18.0,,15.0,19,15.0
2018_10_12,16.0,,,15.0,13.0,,19.0,19.0,19,29.0,26.0,,16.0,20.0,,44.0,,18.0,26.0,19.0,31.0,22.0,32.0,14.0,17.0,14.0,12.0,17.0,,16.0,14.0,15.0,25.0,7.0,,,,13.0,,11.0,,11.0,13.0,8.0,17.0,,,27.0,22.0,,9.0,13,14.0
2018_10_13,27.0,,,22.0,23.0,,33.0,33.0,30,45.0,39.0,,25.0,27.0,,38.0,,21.0,26.0,22.0,22.0,24.0,30.0,17.0,16.0,16.0,13.0,22.0,,13.0,11.0,15.0,20.0,7.0,,,,15.0,,10.0,,9.0,15.0,8.0,16.0,,,23.0,19.0,,9.0,12,9.0
2018_10_14,26.0,,,20.0,19.0,,33.0,33.0,25,40.0,37.0,,29.0,25.0,,49.0,,21.0,27.0,19.0,27.0,23.0,21.0,20.0,18.0,13.0,13.0,24.0,,15.0,10.0,13.0,22.0,12.0,,,,14.0,,12.0,,8.0,16.0,9.0,20.0,,,22.0,18.0,,12.0,16,7.0
2018_10_15,12.0,,,14.0,14.0,,23.0,19.0,19,26.0,23.0,,12.0,15.0,,16.0,,16.0,29.0,19.0,23.0,25.0,32.0,20.0,14.0,10.0,10.0,22.0,,16.0,10.0,16.0,21.0,10.0,,,,17.0,,15.0,,9.0,18.0,10.0,18.0,,,19.0,14.0,18.0,13.0,16,7.0
2018_10_16,12.0,,,10.0,13.0,,17.0,15.0,19,27.0,23.0,,9.0,17.0,,13.0,,19.0,35.0,21.0,18.0,20.0,25.0,17.0,18.0,13.0,10.0,19.0,,15.0,10.0,15.0,23.0,6.0,,,,20.0,,13.0,,7.0,18.0,10.0,17.0,,,16.0,12.0,12.0,8.0,12,6.0
2018_10_17,12.0,19.0,20.0,11.0,18.0,38.0,22.0,17.0,19,33.0,22.0,15.0,8.0,15.0,,16.0,21.0,17.0,27.0,18.0,17.0,10.0,20.0,13.0,15.0,9.0,14.0,16.0,18.0,13.0,10.0,18.0,20.0,9.0,14.0,12.0,12.0,15.0,17.0,11.0,10.0,10.0,18.0,10.0,16.0,14.0,16.0,15.0,7.0,15.0,7.0,11,15.0
2018_10_18,21.0,,19.0,16.0,16.0,33.0,27.0,24.0,22,34.0,28.0,20.0,16.0,21.0,,14.0,20.0,18.0,28.0,21.0,12.0,10.0,12.0,10.0,18.0,14.0,18.0,20.0,23.0,12.0,11.0,15.0,20.0,8.0,14.0,12.0,11.0,12.0,17.0,15.0,11.0,11.0,21.0,9.0,19.0,13.0,14.0,18.0,6.0,13.0,9.0,10,4.0
2018_10_19,32.0,,26.0,22.0,24.0,37.0,39.0,30.0,31,41.0,40.0,30.0,28.0,27.0,,20.0,25.0,21.0,27.0,22.0,20.0,19.0,22.0,11.0,22.0,15.0,22.0,28.0,27.0,19.0,12.0,14.0,21.0,9.0,14.0,13.0,10.0,14.0,17.0,18.0,11.0,9.0,13.0,5.0,21.0,15.0,14.0,19.0,10.0,9.0,11.0,12,14.0
