Date,02T,05T,10T,11T,12T,59T,61T,03T,50T,52T,53T,54T,08T,16T,17T,18T,19T,13T,22T,14T,27T,20T,81T,21T,24T,25T,26T,79T,46T,47T,72T,28T,29T,30T,31T,74T,32T,33T,34T,60T,71T,77T,35T,36T,37T,38T,39T,40T,41T,57T,73T,58T,67T,75T,68T,69T,70T,76T,42T,43T,44T,62T,63T,78T,80T
2019_06_15,,10.0,11.0,12.0,,10.0,11.0,25.0,15.0,12,17,22.0,15.0,,10.0,14.0,12,13.0,,22.0,6.0,12.0,,9.0,13.0,11.0,22.0,8.0,19.0,,13.0,6.0,8.0,8.0,7.0,,13.0,11.0,9,10.0,9.0,16.0,18,20.0,15.0,11.0,9.0,11.0,7.0,13.0,15.0,11.0,13,12.0,14.0,9.0,,9.0,11.0,,15.0,11.0,20.0,,10
2019_06_16,,11.0,11.0,15.0,,12.0,10.0,22.0,17.0,16,20,30.0,15.0,,8.0,12.0,12,15.0,,22.0,7.0,13.0,,8.0,15.0,8.0,17.0,10.0,16.0,,6.0,5.0,8.0,9.0,8.0,,11.0,,7,7.0,8.0,10.0,15,14.0,11.0,11.0,7.0,8.0,7.0,10.0,12.0,14.0,11,10.0,11.0,6.0,,6.0,11.0,,22.0,16.0,24.0,,14
2019_06_17,,8.0,10.0,11.0,,11.0,9.0,22.0,13.0,10,16,17.0,13.0,,8.0,10.0,11,10.0,,19.0,4.0,14.0,,7.0,9.0,6.0,19.0,6.0,15.0,,,3.0,6.0,8.0,6.0,,10.0,,7,4.0,6.0,10.0,11,14.0,9.0,11.0,9.0,6.0,8.0,7.0,10.0,14.0,9,9.0,8.0,4.0,,7.0,17.0,,32.0,14.0,35.0,,20
2019_06_18,,8.0,7.0,10.0,,6.0,9.0,22.0,12.0,10,14,22.0,14.0,,16.0,11.0,11,7.0,,19.0,3.0,21.0,,9.0,12.0,6.0,20.0,9.0,15.0,,,4.0,6.0,10.0,8.0,,9.0,7.0,6,5.0,7.0,10.0,12,15.0,10.0,11.0,7.0,6.0,9.0,8.0,8.0,14.0,8,7.0,9.0,4.0,,8.0,10.0,,29.0,12.0,22.0,,18
2019_06_19,,8.0,7.0,10.0,,5.0,9.0,26.0,13.0,11,16,17.0,16.0,,,10.0,12,8.0,,18.0,3.0,12.0,,13.0,16.0,12.0,19.0,11.0,17.0,,7.0,4.0,7.0,10.0,7.0,,10.0,8.0,7,5.0,,11.0,15,14.0,12.0,10.0,8.0,8.0,14.0,10.0,11.0,9.0,9,8.0,11.0,9.0,,6.0,13.0,,22.0,12.0,22.0,,20
2019_06_20,,15.0,13.0,14.0,,12.0,14.0,34.0,18.0,16,21,28.0,20.0,,15.0,9.0,16,15.0,,33.0,11.0,16.0,,14.0,18.0,14.0,19.0,9.0,21.0,,9.0,6.0,9.0,11.0,8.0,,11.0,11.0,10,8.0,10.0,18.0,14,16.0,12.0,13.0,8.0,9.0,11.0,10.0,11.0,6.0,11,9.0,13.0,8.0,,9.0,17.0,,19.0,18.0,21.0,,17
2019_06_21,,19.0,14.0,14.0,,12.0,16.0,34.0,21.0,18,25,25.0,23.0,,17.0,20.0,16,14.0,,23.0,14.0,13.0,,13.0,20.0,19.0,20.0,12.0,20.0,,13.0,9.0,9.0,10.0,9.0,,13.0,14.0,11,15.0,11.0,21.0,15,15.0,14.0,13.0,11.0,10.0,14.0,10.0,7.0,12.0,13,10.0,14.0,12.0,,11.0,14.0,,14.0,13.0,14.0,,10
2019_06_22,,17.0,15.0,16.0,,15.0,17.0,21.0,19.0,17,24,29.0,23.0,,16.0,20.0,17,15.0,,23.0,13.0,15.0,,18.0,24.0,21.0,25.0,12.0,21.0,,12.0,14.0,15.0,12.0,16.0,,19.0,16.0,16,24.0,15.0,25.0,16,17.0,16.0,16.0,13.0,10.0,18.0,15.0,8.0,9.0,15,14.0,15.0,12.0,,15.0,12.0,,14.0,12.0,12.0,,6
2019_06_23,,17.0,14.0,16.0,,12.0,17.0,21.0,20.0,15,23,29.0,24.0,,14.0,19.0,17,15.0,,19.0,11.0,17.0,,16.0,23.0,17.0,25.0,12.0,23.0,,17.0,11.0,13.0,9.0,14.0,,14.0,14.0,11,16.0,13.0,18.0,19,17.0,19.0,16.0,15.0,14.0,21.0,15.0,7.0,10.0,18,19.0,16.0,15.0,,16.0,14.0,,13.0,9.0,10.0,,4
2019_06_24,,14.0,12.0,12.0,,10.0,14.0,20.0,16.0,11,20,24.0,19.0,,12.0,14.0,15,11.0,,12.0,7.0,16.0,,13.0,49.0,8.0,19.0,9.0,19.0,,12.0,5.0,7.0,9.0,8.0,,12.0,9.0,10,8.0,8.0,14.0,20,16.0,19.0,,17.0,17.0,20.0,18.0,14.0,12.0,19,20.0,16.0,19.0,,12.0,11.0,,16.0,13.0,15.0,,8
2019_06_25,,16.0,11.0,12.0,,12.0,13.0,32.0,18.0,15,20,25.0,21.0,17.0,,17.0,13,11.0,,,14.0,10.0,8.0,13.0,19.0,9.0,19.0,7.0,19.0,,11.0,6.0,5.0,9.0,6.0,,8.0,8.0,6,8.0,9.0,16.0,17,14.0,14.0,14.0,15.0,11.0,13.0,13.0,9.0,9.0,15,14.0,15.0,10.0,,9.0,11.0,,25.0,12.0,17.0,,12
2019_06_26,,11.0,8.0,9.0,,9.0,12.0,34.0,14.0,12,16,20.0,17.0,10.0,9.0,10.0,12,11.0,,18.0,18.0,9.0,7.0,9.0,25.0,8.0,17.0,5.0,14.0,,9.0,,6.0,9.0,7.0,,8.0,5.0,5,7.0,7.0,19.0,17,13.0,11.0,11.0,11.0,6.0,10.0,18.0,8.0,6.0,9,10.0,12.0,6.0,,8.0,11.0,,17.0,13.0,23.0,,7
2019_06_27,,17.0,9.0,12.0,,13.0,14.0,42.0,20.0,17,19,25.0,18.5,16.0,12.0,16.0,13,13.0,,21.0,14.0,8.0,7.0,8.0,21.5,6.0,17.0,6.0,13.0,,6.0,8.0,7.0,12.0,7.0,,12.0,9.0,7,6.0,8.0,14.0,12,7.0,7.0,10.0,9.0,6.0,10.0,25.0,10.0,4.0,8,7.0,8.0,4.0,,5.0,16.0,10.0,21.0,21.0,21.0,,12
2019_06_28,,16.0,14.0,16.0,,13.0,18.0,46.0,18.0,17,21,20.0,16.5,17.0,14.0,14.0,13,15.0,,21.0,13.0,17.0,9.0,12.0,23.0,11.0,22.0,7.0,15.0,14.0,8.0,10.0,7.0,12.0,10.0,,12.0,13.0,6,11.0,8.0,15.0,12,9.0,10.0,10.0,8.0,7.0,11.0,15.0,9.0,5.0,9,6.0,7.0,7.0,,7.0,17.0,9.0,30.0,26.0,27.0,,23
2019_06_30,,9.0,9.0,13.0,,8.0,14.0,20.0,14.0,11,16,25.0,13.0,10.0,11.0,11.0,12,10.0,,13.0,7.0,9.0,8.0,10.0,24.5,10.0,16.0,7.0,17.0,14.0,9.0,7.0,9.0,10.0,10.0,,13.0,9.0,8,7.0,7.0,11.0,13,8.0,12.0,9.0,7.0,8.0,12.0,12.0,6.0,5.0,8,5.0,8.0,7.0,,7.0,20.0,11.0,33.0,22.0,34.0,,22
2019_07_01,,15.0,15.0,17.0,,11.0,19.0,33.0,19.0,17,25,31.0,18.0,13.0,14.0,18.0,15,16.0,,24.0,17.0,13.0,10.0,11.0,18.0,12.0,22.0,11.0,16.0,17.0,5.0,14.0,10.0,12.0,13.0,,17.0,13.0,12,7.0,7.0,16.0,16,8.0,14.0,11.0,8.0,9.0,17.0,11.0,8.0,6.0,9,6.0,12.0,7.0,4.0,8.0,14.0,11.0,30.0,22.0,33.0,,20
2019_07_02,,24.0,17.0,21.0,,16.0,22.0,34.0,26.0,28,29,35.0,26.0,19.0,22.0,22.0,14,19.0,,27.0,15.0,16.0,17.0,17.0,22.0,13.0,24.0,13.0,18.0,20.0,10.0,13.0,13.0,11.0,,,17.0,14.0,10,14.0,10.0,18.0,23,19.0,17.0,12.0,15.0,13.0,20.0,12.0,10.0,9.0,10,6.0,18.0,11.0,7.0,10.0,19.0,14.0,34.0,28.0,40.0,,26
