Date,02T,05T,10T,11T,12T,59T,61T,03T,50T,52T,53T,54T,08T,16T,17T,18T,19T,13T,22T,14T,27T,20T,21T,24T,25T,26T,28T,29T,30T,31T,74T,32T,33T,34T,35T,36T,37T,38T,39T,40T,41T,42T,43T,44T,46T,47T,60T,62T,63T,78T,57T,73T,58T,67T,75T,68T,69T,70T,71T,72T,76T,77T,79T,80T,81T,82T,83T,84T
2020-02-12,36.0,32,34.0,35.0,38.0,36.0,36.0,44.0,40.0,34.0,34.0,49.0,41,34,34,48.0,29.0,36.0,37.0,45.0,32.0,36.0,60.0,73.0,51.0,46.0,47.0,39.0,37.0,39.0,39.0,34.0,47.0,40,36.0,41.0,45,39.0,43.0,38.0,49,11.0,11.0,13.0,48,59.0,50.0,11.0,9.0,6.0,38.0,50.0,74.0,49.0,37.0,28.0,49,40,39.0,49.0,45.0,57.0,59,9.0,35.0,,,
2020-02-13,13.0,11,12.0,15.0,13.0,12.0,16.0,17.0,16.0,12.0,10.0,22.0,17,15,10,22.0,13.0,14.0,10.0,14.0,8.0,13.0,15.0,22.0,23.0,18.0,16.0,9.0,18.0,9.0,17.0,9.0,17.0,10,40.0,38.0,30,28.0,26.0,22.0,29,10.0,10.0,13.0,50,39.0,16.0,11.0,13.0,5.0,32.0,59.0,75.0,44.0,34.0,21.0,44,26,16.0,43.0,40.0,25.0,36,8.0,11.0,,,
2020-02-14,12.0,10,10.0,12.0,13.0,12.0,13.0,19.0,16.0,11.0,10.0,22.0,16,8,11,24.0,13.0,13.0,10.0,15.0,7.0,13.0,17.0,24.0,20.0,18.0,14.0,8.0,18.0,8.0,16.0,8.0,14.0,10,32.0,33.0,30,26.0,26.0,24.0,26,13.0,10.0,,37,26.0,14.0,11.0,14.0,6.0,34.0,51.0,77.0,42.0,32.0,19.0,35,25,13.0,34.0,35.0,18.0,29,10.0,11.0,,,
2020-02-15,20.0,15,17.0,17.0,20.0,15.0,19.0,25.0,23.0,22.0,16.0,25.0,21,16,16,32.0,18.0,22.0,19.0,27.0,20.0,17.0,24.0,25.0,27.0,22.0,15.0,9.0,20.0,11.0,16.0,10.0,15.0,13,48.0,50.0,41,38.0,41.0,34.0,30,11.0,12.0,,36,24.0,18.0,13.0,14.0,6.0,63.0,78.0,115.0,50.0,41.0,28.0,37,43,10.0,41.0,43.0,19.0,28,8.0,22.0,,,
2020-02-16,16.0,11,14.0,13.0,12.0,14.0,15.0,19.0,16.0,13.0,11.0,23.0,16,10,10,25.0,16.0,15.0,14.0,22.0,13.0,16.0,27.0,32.0,22.0,27.0,14.0,9.0,19.0,7.0,16.0,8.0,17.0,10,76.0,81.0,56,53.0,49.0,51.0,35,12.0,14.0,16.0,61,36.0,12.0,13.0,14.0,9.0,79.0,92.0,123.0,57.0,47.0,48.0,69,86,16.0,73.0,59.0,,43,11.0,18.0,,,
2020-02-17,18.0,15,18.0,18.0,17.0,15.0,19.0,21.0,21.0,16.0,17.0,25.0,20,13,14,27.0,16.0,18.0,18.0,20.0,12.0,21.0,30.0,62.0,44.0,41.0,21.0,13.0,19.0,18.0,16.0,9.0,22.0,14,75.0,86.0,59,52.0,52.0,52.0,33,12.0,15.0,14.0,32,35.0,18.0,12.0,13.0,9.0,94.0,94.0,91.0,66.0,73.0,56.0,87,97,34.0,37.0,75.0,39.0,58,8.0,18.0,,,
2020-02-18,32.0,32,31.0,31.0,32.0,30.0,32.0,36.0,39.0,36.0,32.0,40.0,41,32,32,50.0,29.0,34.0,35.0,41.0,39.0,32.0,35.0,45.0,43.0,43.0,35.0,22.0,26.0,24.0,32.0,29.0,38.0,31,75.0,78.0,59,60.0,60.0,62.0,33,15.0,9.0,14.0,33,31.0,27.0,14.0,14.0,7.0,54.0,59.0,78.0,61.0,49.0,54.0,68,77,27.0,31.0,70.0,39.0,41,9.0,35.0,,,
2020-02-19,52.0,49,53.0,50.0,50.0,48.0,52.0,52.0,53.0,49.0,53.0,52.0,54,49,42,64.0,34.0,51.0,55.0,64.0,59.0,49.0,51.0,53.0,57.0,66.0,47.0,40.0,43.0,44.0,46.0,37.0,44.0,37,57.0,56.0,53,53.0,51.0,49.0,47,22.0,15.0,17.0,40,41.0,36.0,20.0,21.0,10.0,55.0,57.0,63.0,58.0,46.0,36.0,65,70,33.0,36.0,52.0,45.0,53,13.0,66.0,,,
2020-02-20,58.0,54,59.0,53.0,57.0,54.0,56.0,79.0,59.0,59.0,55.0,64.0,64,51,55,77.0,51.0,58.0,66.0,92.0,91.0,64.0,70.0,64.0,61.0,79.0,60.0,63.0,61.0,59.0,72.0,49.0,57.0,60,54.0,56.0,60,56.0,56.0,60.0,46,25.0,19.0,19.0,41,50.0,52.0,19.0,21.0,12.0,60.0,65.0,84.0,58.0,43.0,39.0,80,71,43.0,42.0,65.0,70.0,73,15.0,84.0,,,
2020-02-21,49.0,52,50.0,50.0,46.0,49.0,49.0,53.0,54.0,49.0,51.0,54.0,56,53,48,73.0,62.0,48.0,64.0,61.0,64.0,55.0,47.0,65.0,49.0,86.0,54.0,57.0,48.0,59.0,60.0,46.0,58.0,52,73.0,71.0,59,52.0,55.0,52.0,42,22.0,18.0,16.0,35,39.0,48.0,18.0,19.0,11.0,58.0,70.0,108.0,53.0,46.0,46.0,62,60,35.0,32.0,70.0,54.0,65,13.0,65.0,,,
