Date,02T,05T,10T,11T,12T,59T,61T,03T,50T,52T,53T,54T,08T,16T,17T,18T,19T,13T,22T,14T,27T,20T,81T,21T,24T,25T,26T,79T,84T,46T,47T,72T,82T,83T,28T,29T,30T,31T,74T,32T,33T,34T,60T,71T,77T,35T,36T,37T,38T,39T,40T,41T,57T,73T,58T,67T,75T,68T,69T,70T,76T,42T,43T,44T,62T,63T,78T,80T
2020_05_17,13.0,10,12.0,11.0,14.0,14.0,14.0,21.0,14.0,11.0,12.0,22.0,13,11,11,24.0,13.0,14.0,11.0,16.0,10.0,19.0,16.0,18.0,22.0,19.0,19.0,10,11.0,34,20.0,20.0,21.0,34.0,17.0,8.0,22.0,8.0,9.0,6.0,13.0,9,13.0,10.0,17.0,33.0,28.0,23,27.0,24.0,24.0,19,41.0,39.0,23.0,26.0,27.0,23.0,25,27,15.0,14.0,10.0,17.0,10.0,11.5,5.0,7.0
2020_05_18,13.0,10,13.0,13.0,16.0,13.0,13.0,22.0,16.0,11.0,11.0,26.0,15,11,10,24.0,14.0,13.0,9.0,15.0,12.0,17.0,14.0,17.0,23.0,15.0,15.0,13,12.0,22,19.0,18.0,11.0,27.0,13.0,7.0,20.0,8.0,12.0,7.0,13.0,9,13.0,9.0,20.0,30.0,25.0,18,23.0,20.0,20.0,14,24.0,21.0,20.0,27.0,26.0,19.0,18,24,14.0,11.0,11.0,15.0,10.5,13.5,4.0,6.0
2020_05_19,11.0,9,12.0,11.0,10.0,9.0,12.0,23.0,12.0,9.0,8.0,20.0,14,8,8,23.0,12.0,12.0,8.0,16.0,8.0,14.0,8.0,14.0,21.0,15.0,12.0,7,7.0,19,15.0,13.0,12.0,22.0,8.0,9.0,19.0,10.0,10.0,6.0,11.0,11,9.0,7.0,22.0,21.0,11.0,11,11.0,8.0,12.0,12,19.0,27.0,12.0,15.0,16.0,12.0,12,12,9.0,16.0,12.0,14.0,10.0,15.5,6.0,13.0
2020_05_20,16.0,10,13.0,13.0,11.0,14.0,14.0,23.0,15.0,12.0,10.0,22.0,14,11,11,23.0,14.0,14.0,9.0,18.0,11.0,13.0,10.0,12.0,17.0,14.0,11.0,15,8.0,22,17.0,12.0,13.0,13.0,12.0,7.0,22.0,10.0,11.0,9.0,19.0,9,10.0,8.0,14.0,20.0,11.0,11,10.0,11.0,13.0,17,20.0,18.0,8.0,18.0,14.0,11.0,13,13,12.0,14.0,14.0,17.0,11.0,13.5,10.0,14.0
2020_05_21,17.0,13,16.0,15.0,15.0,12.0,16.0,26.0,18.0,14.0,13.0,25.0,15,13,13,25.0,15.0,18.0,14.0,22.0,12.0,20.0,12.0,18.0,22.0,19.0,19.0,14,11.0,22,22.0,19.0,16.0,13.0,21.0,11.0,21.0,10.0,20.0,12.0,24.0,13,13.0,10.0,17.0,23.0,16.0,15,14.0,9.0,16.0,14,12.0,15.0,13.0,18.0,15.0,14.0,14,12,15.0,16.0,22.0,19.0,13.0,16.0,6.0,14.0
2020_05_22,25.0,22,23.0,22.0,22.0,24.0,23.0,34.0,24.0,21.0,21.0,32.0,24,22,21,34.0,23.0,23.0,17.0,25.0,21.0,21.0,19.0,22.0,33.0,27.0,20.0,19,17.0,27,25.0,24.0,29.0,20.0,23.0,15.0,24.0,16.0,20.0,17.0,29.0,19,18.0,14.0,24.0,35.0,27.0,26,26.0,21.0,26.0,26,25.0,25.0,19.0,25.0,19.0,22.0,24,22,23.0,15.0,19.0,20.0,12.5,15.0,9.0,12.0
2020_05_23,26.0,23,28.0,23.0,26.0,19.0,26.0,35.0,25.0,23.0,22.0,37.0,26,24,23,34.0,19.0,21.0,19.0,31.0,21.0,20.0,18.0,27.0,34.0,28.0,18.0,27,16.0,30,27.0,27.0,34.0,18.0,21.0,16.0,24.0,20.0,23.0,17.0,30.0,24,17.0,13.0,23.0,44.0,38.0,39,33.0,28.0,36.0,25,37.0,39.0,32.0,38.0,28.0,28.0,40,34,29.0,15.0,23.0,19.0,16.0,14.5,6.0,9.0
2020_05_24,25.0,21,27.0,26.0,24.0,28.0,24.0,28.0,23.0,20.0,22.0,33.0,23,20,21,33.0,19.0,23.0,20.0,24.0,19.0,26.0,20.0,20.0,23.0,21.0,22.0,28,17.0,20,19.0,20.0,15.0,9.0,15.0,16.0,25.0,22.0,17.0,15.0,20.0,18,13.0,10.0,16.0,46.0,39.0,36,36.0,32.0,37.0,25,37.0,46.0,35.0,37.0,32.0,29.0,29,36,31.0,20.0,20.0,21.0,13.0,15.0,5.0,11.0
2020_05_25,22.0,20,23.0,23.0,23.0,16.0,16.666666666666668,34.0,23.0,20.0,22.0,36.0,22,19,20,33.0,19.0,20.0,16.0,27.0,21.0,19.0,18.0,16.0,19.0,18.0,19.0,19,15.0,18,17.0,21.0,13.0,8.0,16.0,16.0,18.0,20.0,,16.0,21.0,20,9.0,7.0,14.0,44.0,38.0,33,32.0,32.0,33.0,18,37.0,45.0,27.0,37.0,35.0,27.0,28,32,28.0,15.0,15.0,16.0,16.0,12.0,8.0,8.0
2020_05_26,24.0,17,21.0,20.0,21.0,19.0,22.0,36.0,25.0,21.0,23.0,35.0,21,18,18,27.0,14.0,15.0,16.0,29.0,19.0,17.0,16.0,14.0,20.0,20.0,16.0,9,11.0,20,18.0,22.0,18.0,6.0,13.0,13.0,21.0,8.0,14.0,12.0,22.0,17,12.0,7.0,15.0,38.0,27.0,25,27.0,26.0,27.0,14,32.0,38.0,22.0,32.0,35.0,22.0,20,31,17.0,11.0,14.0,21.0,23.0,16.0,4.0,9.0
2020_05_27,12.0,9,16.0,13.0,13.0,13.0,15.0,19.0,14.0,9.0,12.0,22.0,11,6,8,21.0,12.0,13.0,9.0,15.0,7.0,15.0,8.0,10.0,18.0,15.0,10.0,10,5.0,17,14.0,20.0,19.0,8.0,14.0,8.0,18.0,11.0,11.0,8.0,23.0,9,10.0,7.0,16.0,29.0,21.0,15,16.0,17.0,16.0,14,27.0,30.0,13.0,22.0,28.0,14.0,15,21,12.0,11.0,12.0,18.0,23.0,15.0,4.0,9.0
2020_05_28,13.0,8,12.0,9.0,9.0,9.0,12.0,16.0,13.0,9.0,9.0,21.0,11,9,7,23.0,13.0,11.0,7.0,12.0,12.0,10.0,7.0,10.0,12.0,12.0,10.0,5,6.0,17,16.0,12.0,10.0,7.0,12.0,7.0,17.0,8.0,10.0,4.0,24.0,8,9.0,6.0,15.0,20.0,11.0,7,8.0,10.0,9.0,9,18.0,15.0,7.0,13.0,21.0,9.0,10,14,7.0,7.0,13.0,19.0,22.0,16.0,4.0,6.0
2020_05_29,12.0,13,16.0,15.0,16.0,13.0,15.0,23.0,16.0,10.0,14.0,26.0,17,13,11,28.0,16.0,13.0,7.0,15.0,10.0,13.0,7.0,8.0,19.0,12.0,10.0,9,7.0,14,13.0,7.0,6.0,8.0,10.0,7.0,21.0,7.0,8.0,5.0,14.0,7,8.0,7.0,12.0,15.0,10.0,7,8.0,5.0,11.666666666666666,9,14.0,17.0,5.0,11.0,8.0,11.0,8,9,6.0,9.0,13.0,21.0,15.0,16.0,4.0,6.0
2020_05_30,11.0,8,12.0,10.0,13.0,9.0,12.0,12.0,11.0,9.0,9.0,22.0,10,7,9,24.0,11.0,10.0,7.0,11.0,9.0,15.0,8.0,8.0,13.0,9.0,7.0,6,4.0,13,11.0,8.0,8.0,7.0,6.0,7.0,20.0,6.0,9.0,5.0,11.0,6,5.0,4.0,9.0,14.0,6.0,6,9.0,5.0,7.0,9,8.0,16.0,6.0,12.0,7.0,7.0,10,9,6.0,10.0,14.0,17.0,13.0,15.0,6.0,7.0
2020_05_31,12.0,11,11.0,9.0,10.0,9.0,11.0,19.0,15.0,9.0,9.0,26.0,12,9,7,23.0,12.0,10.0,6.0,15.0,25.5,8.0,5.0,10.0,12.0,12.0,6.0,10,5.0,17,12.0,9.0,6.0,11.0,11.0,6.0,18.0,4.0,9.0,6.0,17.0,7,7.0,5.0,13.0,15.0,9.0,8,12.0,7.0,11.0,11,7.0,8.0,7.0,9.0,6.0,8.0,12,9,10.0,6.0,14.0,20.0,44.0,14.0,5.0,7.0
2020_06_01,14.0,9,13.0,10.0,14.0,8.0,14.0,22.0,16.0,11.0,10.0,25.0,13,8,9,21.0,11.0,11.0,8.0,16.0,8.0,12.0,7.0,8.0,21.0,13.0,11.0,8,6.0,18,14.0,10.0,10.0,8.0,13.0,6.0,32.0,5.0,13.0,6.0,21.0,8,10.0,6.0,14.0,18.0,15.0,12,12.0,7.0,11.0,9,11.0,12.0,7.0,11.0,9.0,11.0,13,11,10.0,9.0,15.0,19.0,9.0,14.0,7.0,9.0
2020_06_02,11.0,6,11.0,9.0,10.0,8.0,12.0,21.0,12.0,8.0,8.0,19.0,11,6,7,20.0,11.0,11.0,8.0,18.0,11.0,9.0,6.0,11.0,14.0,12.0,10.0,9,6.0,16,14.0,8.0,9.0,4.0,15.0,9.0,35.0,7.0,12.0,6.0,12.0,9,8.0,7.0,13.0,18.0,13.0,11,14.0,9.0,11.0,11,12.0,11.0,7.0,13.0,8.0,11.0,9,11,7.0,9.0,14.0,16.0,10.0,15.0,7.0,10.0
2020_06_03,11.0,8,12.0,9.0,13.0,9.0,12.0,16.0,13.0,10.0,9.0,22.0,12,8,8,22.0,13.0,11.0,7.0,11.0,10.0,13.0,9.0,5.0,11.0,8.0,8.0,6,7.0,14,13.0,10.0,10.0,6.0,13.0,8.0,31.0,9.0,10.0,6.0,16.0,8,5.0,5.0,8.0,19.0,14.0,13,15.0,9.0,13.0,11,15.0,14.0,8.0,15.0,12.0,12.0,14,12,9.0,11.0,14.0,19.0,11.0,16.0,6.0,14.0
